fiyat,Net Metrekare,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Balkon Durumu,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Banyo Sayısı,Fiyat Durumu,Balkon Sayısı,Eşya Durumu,Takas,Yapı Tipi,WC Sayısı,Görüntülü Gezilebilir mi?,Depozito,Aidat,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,bedrooms,living_rooms,AçıkBalkon,AçıkTeras,FransızBalkon,KapalıBalkon,KapalıTeras,latitude,longitude
8500,80.0,9,4960.0,0.0,0.0,22648.0,100.0,2,4.0,0,1,1.0,-1,0.0,0.0,6753.0,-1,1.0,-1,-1,3.0,0.0,28.306085376930064,1.0,1.0,0,0,0,0,0,37.018011,35.3109561
13000,100.0,9,13062.0,0.0,1.0,22648.0,110.0,5,7.0,0,1,0.0,2,0.0,0.0,6753.0,-1,1.0,-1,-1,3.0,0.0,28.306085376930064,2.0,1.0,1,0,0,0,0,37.0173955,35.2642885
12000,165.0,12,4960.0,0.0,1.0,22648.0,175.0,7,10.0,0,2,0.0,2,1.0,0.0,6753.0,1,1.0,-1,-1,3.0,0.0,28.306085376930064,3.0,1.0,1,0,0,0,0,37.0405916,35.2999779
9000,100.0,-1,997.0,0.0,1.0,254.0,110.0,5,3.0,0,1,0.0,1,0.0,0.0,6753.0,1,0.0,-1,-1,3.0,0.0,28.306085376930064,3.0,1.0,1,0,0,0,0,37.0219512,35.382279
7250,24.0,6,4960.0,0.0,0.0,22648.0,27.0,5,4.0,0,1,1.0,-1,1.0,0.0,6753.0,1,1.0,-1,-1,3.0,0.0,28.306085376930064,1.5,0.0,0,0,0,0,0,37.03685340000001,35.3109561
5500,40.0,12,4960.0,0.0,0.0,22648.0,50.0,8,4.0,0,1,0.0,-1,0.0,0.0,6753.0,-1,1.0,5500,-1,3.0,0.0,28.306085376930064,1.0,1.0,0,0,0,0,0,37.0189835,35.3219329
5500,30.0,12,4960.0,0.0,1.0,22648.0,40.0,6,4.0,0,1,0.0,1,1.0,0.0,6753.0,1,1.0,-1,-1,3.0,0.0,28.306085376930064,1.5,0.0,0,1,0,0,0,37.0189835,35.3219329
6250,20.0,3,4960.0,0.0,0.0,22648.0,27.0,5,4.0,0,1,1.0,-1,1.0,0.0,6753.0,1,1.0,-1,100,3.0,0.0,28.306085376930064,1.0,0.0,0,0,0,0,0,37.03685340000001,35.3109561
7000,85.0,14,997.0,0.0,1.0,22648.0,100.0,0,12.0,0,1,0.0,-1,0.0,0.0,6753.0,-1,1.0,-1,-1,3.0,0.0,28.306085376930064,2.0,1.0,0,0,0,0,0,37.072095,35.383953
15000,190.0,12,1822.0,0.0,1.0,22648.0,210.0,7,6.0,0,2,1.0,1,0.0,0.0,6753.0,1,1.0,15000,150,25.0,20.0,50.0,3.0,1.0,1,0,0,0,0,37.0189835,35.3219329
